timestamp,value,stored_at
1577404800,6211.000,27-12-2019
1577664000,6183.500,30-12-2019
1577750400,6156.000,31-12-2019
1577923200,6165.500,02-01-2020
1578009600,6077.000,03-01-2020
1578268800,6097.500,06-01-2020
1578355200,6134.500,07-01-2020
1578441600,6154.000,08-01-2020
1578528000,6156.000,09-01-2020
1578614400,6157.000,10-01-2020
1578873600,6177.000,13-01-2020
1578960000,6247.000,14-01-2020
1579123787,6232,15-01-2020
1579158864,6300.5,16-01-2020
1579219200,6276.5,17-01-2020
1579476305,6245,20-01-2020
1579564800,6158.50,21-01-2020
1579651200,6103.50,22-01-2020
1579737600,6050.00,23-01-2020
1580102152,5968,24-01-2020
1580223482,5779,27-01-2020
1580191141,5715,28-01-2020
1580276204,5698,29-01-2020
1580454453,5621.00,30-01-2020
1580623199,5570,31-01-2020
1580709599,5595,03-02-2020
1580795999,5652,04-02-2020
1580882399,5714,05-02-2020
1580968799,5726,06-02-2020
1581055199,5653,07-02-2020
1581314399,5659.5,10-02-2020
1581400799,5696,11-02-2020
1581487199,5747,12-02-2020
1581573599,5716.00,13-02-2020
1581659999,5737,14-02-2020
1581919199,5802.00,17-02-2020
1582005599,5728,18-02-2020
1582091999,5745.5,19-02-2020
1582178399,5730,20-02-2020
1582437599,5702,21-02-2020
1582523999,5657.5,24-02-2020
1582610399,5663.5,25-02-2020
1582696799,5614,26-02-2020
1582783199,5618,27-02-2020
1582955999,5573,28-02-2020
1583128799,5640,02-03-2020
1583215199,5668,03-03-2020
1583301599,5694.5,04-03-2020
1583387999,5667.5,05-03-2020
1583474399,5624,06-03-2020
1583733599,5483,09-03-2020
1583819999,5598,10-03-2020
1583906399,5552,11-03-2020
1583992799,5386.5,12-03-2020
1584079199,5530.50,13-03-2020
1584338399,5211,16-03-2020
1584424799,5205,17-03-2020
1584511199,4860.5,18-03-2020
1584597599,4685,19-03-2020
1584770399,4855,21-03-2020
1584943199,4617.5,23-03-2020
1585029599,4789.5,24-03-2020
1585115999,4754,25-03-2020
1585202399,4775.5,26-03-2020
1585288799,4774,27-03-2020
1585544399,4763,30-03-2020
1585630799,4797,31-03-2020
1585717199,4772,01-04-2020
1585803599,4821.5,02-04-2020
1585976399,4863.5,03-04-2020
1586149199,4867,06-04-2020
1586235599,5067.5,07-04-2020
1586321999,4976,08-04-2020
1586408399,4963.5,09-04-2020
1586840399,5119,14-04-2020
1586840399,5054.5,15-04-2020
1587013199,5098.5,16-04-2020
1587099599,5175.5,17-04-2020
1587358799,5169.5,20-04-2020
1587445199,4994.5,21-04-2020
1587531599,5034,22-04-2020
1587617999,5120.5,23-04-2020
1587704399,5118,24-04-2020
1587963599,5165.5,27-04-2020
1588049999,5169.5,28-04-2020
1588136399,5184,29-04-2020
1588222799,5231,30-04-2020
1588309199,5061,01-05-2020
1588568399,5058,04-05-2020
1588654799,5111.5,05-05-2020
1588741199,5199.5,06-05-2020
1588827599,5227.5,07-05-2020
1589173199,5231,11-05-2020
1589259599,5234,12-05-2020
1589345999,5212.5,13-05-2020
1589432399,5155.5,14-05-2020
1589518799,5165,15-05-2020
1589777999,5249.5,18-05-2020
1589864399,5314,19-05-2020
1589950799,5333,20-05-2020
1590037199,5387,21-05-2020
1590123599,5242.5,22-05-2020
1590469199,5341.5,26-05-2020
1590555599,5308.5,27-05-2020
1590641999,5278.5,28-05-2020
1590814799,5332.5,30-05-2020
1590987599,5376.5,01-06-2020
1591073999,5463,02-06-2020
1591160399,5499,03-06-2020
1591246799,5452.5,04-06-2020
1591333199,5588,05-06-2020
1591592399,5659,08-06-2020
1591678799,5680.5,09-06-2020
1591765199,5801,10-06-2020
1591851599,5801.5,11-06-2020
1592110799,5785.5,14-06-2020
1592197199,5646,15-06-2020
1592283599,5759.5,16-06-2020
1592369999,5734,17-06-2020
1592456399,5799,18-06-2020
1592542799,5835.5,19-06-2020
1592801999,5825,22-06-2020
1592888399,5895,23-06-2020
1592974799,5871,24-06-2020
1593061199,5880.5,25-06-2020
1593147599,5985.5,26-06-2020
1593406799,5957,29-06-2020
1593493199,6038,30-06-2020
1593579599,6016.5,01-07-2020
1593665999,6080,02-07-2020
1593752399,6022.5,03-07-2020
1594011599,6112,06-07-2020
1594097999,6086,07-07-2020
1594184399,6194,08-07-2020
1594270799,6339.5,09-07-2020
