timestamp,value,stored_at
1578945721,6149.2,14-01-2020
1578945721,6149.2,15-01-2020
1579123787,6152.8,16-01-2020
1579158864,6157.65,17-01-2020
1579476305,6169.7,18-01-2020
1579476305,6169.7,19-01-2020
1579476305,6169.7,20-01-2020
1579677344,6210.35,21-01-2020
1579763654,6205.3,22-01-2020
1579843332,6194.7,23-01-2020
1580061846,6175.8,24-01-2020
1580061846,6175.8,25-01-2020
1580061846,6175.8,26-01-2020
1580061846,6175.8,27-01-2020
1580223482,6136,28-01-2020
1580309941,6082.8,29-01-2020
1580276204,6029.4,30-01-2020
1580368108,5961.45,31-01-2020
1580623199,5890.8,01-02-2020
1580623199,5890.8,02-02-2020
1580623199,5890.8,03-02-2020
1580709599,5825.8,04-02-2020
1580795999,5775.15,05-02-2020
1580882399,5736.2,06-02-2020
1580968799,5703.8,07-02-2020
1581055199,5672.3,08-02-2020
1581055199,5672.3,09-02-2020
1581055199,5672.3,10-02-2020
1581314399,5660.35,11-02-2020
1581400799,5658.45,12-02-2020
1581487199,5663.35,13-02-2020
1581573599,5672.85,14-02-2020
1581659999,5689.55,15-02-2020
1581659999,5689.55,16-02-2020
1581659999,5689.55,17-02-2020
1581919199,5710.25,18-02-2020
1582005599,5717.85,19-02-2020
1582091999,5721,20-02-2020
1582178399,5721.4,21-02-2020
1582437599,5726.3,22-02-2020
1582437599,5726.3,23-02-2020
1582437599,5726.3,24-02-2020
1582523999,5726.1,25-02-2020
1582610399,5722.85,26-02-2020
1582696799,5709.55,27-02-2020
1582783199,5699.75,28-02-2020
1582869540,5683.35,29-02-2020
1582869540,5683.35,01-03-2020
1582869540,5683.35,02-03-2020
1583128799,5667.15,03-03-2020
1583215199,5661.15,04-03-2020
1583301599,5656.05,05-03-2020
1583387999,5649.8,06-03-2020
1583474399,5642,07-03-2020
1583474399,5642,08-03-2020
1583474399,5642,09-03-2020
1583733599,5624.55,10-03-2020
1583819999,5618,11-03-2020
1583906399,5611.8,12-03-2020
1583992799,5588.65,13-03-2020
1584079199,5584.4,14-03-2020
1584079199,5584.4,15-03-2020
1584079199,5584.4,16-03-2020
1584338399,5541.5,17-03-2020
1584424799,5495.2,18-03-2020
1584511199,5411.8,19-03-2020
1584597599,5313.55,20-03-2020
1584597599,5313.55,21-03-2020
1584770399,5236.65,22-03-2020
1584770399,5236.65,23-03-2020
1584943199,5150.1,24-03-2020
1585029599,5069.25,25-03-2020
1585115999,4989.45,26-03-2020
1585202399,4928.35,27-03-2020
1585288799,4852.7,28-03-2020
1585288799,4852.7,29-03-2020
1585288799,4852.7,30-03-2020
1585544399,4807.9,31-03-2020
1585630799,4767.1,01-04-2020
1585717199,4758.25,02-04-2020
1585803599,4771.9,03-04-2020
1585803599,4771.9,04-04-2020
1585976399,4772.75,05-04-2020
1585976399,4772.75,06-04-2020
1586149199,4797.7,07-04-2020
1586235599,4825.5,08-04-2020
1586321999,4847.7,09-04-2020
1586408399,4866.5,10-04-2020
1586408399,4866.5,11-04-2020
1586408399,4866.5,12-04-2020
1586408399,4866.5,13-04-2020
1586408399,4866.5,14-04-2020
1586840399,4901,15-04-2020
1586926799,4960.3,16-04-2020
1587013199,5000.65,17-04-2020
1587013199,5000.65,18-04-2020
1587013199,5000.65,19-04-2020
1587013199,5000.65,20-04-2020
1587358799,5035.45,21-04-2020
1587445199,5048.55,22-04-2020
1587531599,5065.25,23-04-2020
1587617999,5070.55,24-04-2020
1587704399,5084.75,25-04-2020
1587704399,5084.75,26-04-2020
1587704399,5084.75,27-04-2020
1587963599,5104.95,28-04-2020
1588049999,5110,29-04-2020
1588136399,5122.95,30-04-2020
1588222799,5136.2,01-05-2020
1588309199,5124.75,02-05-2020
1588309199,5124.75,03-05-2020
1588309199,5124.75,04-05-2020
1588568399,5113.6,05-05-2020
1588654799,5125.3,06-05-2020
1588741199,5141.85,07-05-2020
1588827599,5152.55,08-05-2020
1588827599,5152.55,09-05-2020
1588827599,5152.55,10-05-2020
1588827599,5152.55,11-05-2020
1589173199,5163.85,12-05-2020
1589259599,5170.7,13-05-2020
1589345999,5175,14-05-2020
1589432399,5175.6,15-05-2020
1589518799,5168.05,16-05-2020
