timestamp,value,stored_at
1578441600,24.000,08-01-2020
1578528000,24.120,09-01-2020
1578614400,23.955,10-01-2020
1578700800,24.000,11-01-2020
1578873600,24.100,13-01-2020
1579009619,24.00,14-01-2020
1579123787,24.055,15-01-2020
1579166459,24.195,16-01-2020
1579219200,24.3,17-01-2020
1579476305,24.34,20-01-2020
1579564800,24.295,21-01-2020
1579651200,24.45,22-01-2020
1579737600,24.30,23-01-2020
1580102152,24.48,24-01-2020
1580191203,24.61,27-01-2020
1580277661,24.77,28-01-2020
1580276204,24.91,29-01-2020
1580364455,24.9,30-01-2020
1580623199,25.05,31-01-2020
1580709599,25.015,03-02-2020
1580795999,24.815,04-02-2020
1580882399,24.69,05-02-2020
1580968799,24.59,06-02-2020
1581227999,24.53,07-02-2020
1581314399,24.465,10-02-2020
1581400799,24.52,11-02-2020
1581487199,24.525,12-02-2020
1581573599,24.46,13-02-2020
1581832799,24.48,14-02-2020
1581919199,24.43,17-02-2020
1582005599,24.455,18-02-2020
1582091999,24.495,19-02-2020
1582178399,24.465,20-02-2020
1582437599,24.475,21-02-2020
1582523999,24.52,24-02-2020
1582610399,24.56,25-02-2020
1582696799,24.615,26-02-2020
1582783199,24.52,27-02-2020
1582869599,24.68,28-02-2020
1583128799,24.895,02-03-2020
1583215199,25,03-03-2020
1583301599,24.84,04-03-2020
1583387999,24.72,05-03-2020
1583474399,25.01,06-03-2020
1583819999,25.41,10-03-2020
1583906399,25.75,11-03-2020
1583992799,26.01,12-03-2020
1584079199,26.22,13-03-2020
1584338399,26.72,16-03-2020
1584424799,27.15,17-03-2020
1584511199,27.41,18-03-2020
1584597599,27.88,19-03-2020
1584683999,27.55,20-03-2020
1584943199,27.65,23-03-2020
1585029599,27.99,24-03-2020
1585115999,28.05,25-03-2020
1585202399,28.22,26-03-2020
1585288799,28.12,27-03-2020
1585544399,28.13,30-03-2020
1585630799,27.63,31-03-2020
1585717199,27.69,01-04-2020
1585803599,27.48,02-04-2020
1585889999,27.46,03-04-2020
1586149199,27.15,06-04-2020
1586235599,27.08,07-04-2020
1586321999,27.38,08-04-2020
1586408399,27.28,09-04-2020
1586494799,27.13,10-04-2020
1586753999,27.02,13-04-2020
1586840399,27.24,14-04-2020
1586926799,27.29,15-04-2020
1587013199,27.15,16-04-2020
1587099599,27.09,17-04-2020
1587445199,27.12,21-04-2020
1587531599,27.025,22-04-2020
1587617999,27.13,23-04-2020
1587704399,27.14,24-04-2020
1587963599,27.11,27-04-2020
1588049999,27.035,28-04-2020
1588136399,26.96,29-04-2020
1588222799,26.97,30-04-2020
1588568399,26.96,04-05-2020
1588654799,26.965,05-05-2020
1588741199,26.9,06-05-2020
1588827599,26.82,07-05-2020
1588913999,26.84,08-05-2020
1589259599,26.76,12-05-2020
1589345999,26.72,13-05-2020
1589432399,26.69,14-05-2020
1589518799,26.63,15-05-2020
1589777999,26.59,18-05-2020
1589864399,26.575,19-05-2020
1589950799,26.695,20-05-2020
1590037199,26.74,21-05-2020
1590123599,26.9,22-05-2020
1590382799,26.885,25-05-2020
1590469199,26.945,26-05-2020
1590555599,26.975,27-05-2020
1590641999,26.93,28-05-2020
1590728399,26.86,29-05-2020
1590987599,26.8,01-06-2020
1591073999,26.81,02-06-2020
1591160399,26.74,03-06-2020
1591246799,26.68,04-06-2020
1591333199,26.61,05-06-2020
1591678799,26.665,09-06-2020
1591765199,26.6,10-06-2020
1591851599,26.69,11-06-2020
1592110799,26.78,14-06-2020
1592197199,26.81,15-06-2020
1592283599,26.82,16-06-2020
1592369999,26.805,17-06-2020
1592456399,26.75,18-06-2020
1592542799,26.735,19-06-2020
1592801999,26.69,22-06-2020
1592888399,26.6,23-06-2020
1592974799,26.71,24-06-2020
1593061199,26.74,25-06-2020
1593147599,26.715,26-06-2020
1593493199,26.71,30-06-2020
1593579599,26.88,01-07-2020
1593665999,27.25,02-07-2020
1593752399,27.13,03-07-2020
1594011599,26.95,06-07-2020
1594097999,26.94,07-07-2020
1594184399,26.95,08-07-2020
