timestamp,value,stored_at
1578945721,24.035,14-01-2020
1579009619,24.043,15-01-2020
1579123787,24.03,16-01-2020
1579166459,24.057,17-01-2020
1579476305,24.117,18-01-2020
1579476305,24.117,19-01-2020
1579476305,24.117,20-01-2020
1579476305,24.117,21-01-2020
1579677344,24.237,22-01-2020
1579763654,24.316,23-01-2020
1579843332,24.337,24-01-2020
1580061846,24.373,25-01-2020
1580061846,24.373,26-01-2020
1580061846,24.373,27-01-2020
1580191203,24.427,28-01-2020
1580277661,24.522,29-01-2020
1580276204,24.614,30-01-2020
1580364455,24.734,31-01-2020
1580623199,24.848,01-02-2020
1580623199,24.848,02-02-2020
1580623199,24.848,03-02-2020
1580709599,24.929,04-02-2020
1580795999,24.938,05-02-2020
1580882399,24.894,06-02-2020
1580968799,24.832,07-02-2020
1581227999,24.728,08-02-2020
1581227999,24.728,09-02-2020
1581227999,24.728,10-02-2020
1581314399,24.618,11-02-2020
1581400799,24.559,12-02-2020
1581487199,24.526,13-02-2020
1581573599,24.5,14-02-2020
1581832799,24.49,15-02-2020
1581832799,24.49,16-02-2020
1581832799,24.49,17-02-2020
1581919199,24.483,18-02-2020
1582005599,24.47,19-02-2020
1582091999,24.464,20-02-2020
1582437599,24.465,21-02-2020
1582437599,24.465,22-02-2020
1582437599,24.465,23-02-2020
1582437599,24.465,24-02-2020
1582523999,24.482,25-02-2020
1582610399,24.503,26-02-2020
1582696799,24.527,27-02-2020
1582783199,24.538,28-02-2020
1582869599,24.579,29-02-2020
1582869599,24.579,01-03-2020
1582869599,24.579,02-03-2020
1583128799,24.654,03-03-2020
1583215199,24.742,04-03-2020
1583301599,24.787,05-03-2020
1583387999,24.827,06-03-2020
1583387999,24.827,07-03-2020
1583387999,24.827,08-03-2020
1583387999,24.827,09-03-2020
1583733599,24.893,10-03-2020
1583819999,24.996,11-03-2020
1583906399,25.146,12-03-2020
1583992799,25.38,13-03-2020
1584079199,25.68,14-03-2020
1584079199,25.68,15-03-2020
1584079199,25.68,16-03-2020
1584338399,26.022,17-03-2020
1584424799,26.37,18-03-2020
1584511199,26.702,19-03-2020
1584597599,27.076,20-03-2020
1584683999,27.342,21-03-2020
1584683999,27.342,22-03-2020
1584683999,27.342,23-03-2020
1584943199,27.528,24-03-2020
1585029599,27.696,25-03-2020
1585115999,27.824,26-03-2020
1585202399,27.892,27-03-2020
1585288799,28.006,28-03-2020
1585288799,28.006,29-03-2020
1585288799,28.006,30-03-2020
1585544399,28.102,31-03-2020
1585630799,28.03,01-04-2020
1585717199,27.958,02-04-2020
1585803599,27.81,03-04-2020
1585889999,27.678,04-04-2020
1585889999,27.678,05-04-2020
1585889999,27.678,06-04-2020
1586149199,27.482,07-04-2020
1586235599,27.372,08-04-2020
1586321999,27.31,09-04-2020
1586408399,27.27,10-04-2020
1586494799,27.204,11-04-2020
1586494799,27.204,12-04-2020
1586494799,27.204,13-04-2020
1586753999,27.178,14-04-2020
1586840399,27.21,15-04-2020
1586926799,27.192,16-04-2020
1587013199,27.166,17-04-2020
1587013199,27.158,18-04-2020
1587013199,27.158,19-04-2020
1587013199,27.158,20-04-2020
1587013199,27.158,21-04-2020
1587445199,27.178,22-04-2020
1587531599,27.135,23-04-2020
1587617999,27.103,24-04-2020
1587704399,27.101,25-04-2020
1587704399,27.101,26-04-2020
1587704399,27.101,27-04-2020
1587963599,27.105,28-04-2020
1588049999,27.088,29-04-2020
1588136399,27.075,30-04-2020
1588222799,27.043,01-05-2020
1588222799,27.043,02-05-2020
1588222799,27.043,03-05-2020
1588222799,27.043,04-05-2020
1588568399,27.007,05-05-2020
1588654799,26.978,06-05-2020
1588741199,26.951,07-05-2020
1588827599,26.923,08-05-2020
1588913999,26.897,09-05-2020
1588913999,26.897,10-05-2020
1588913999,26.897,11-05-2020
1588913999,26.897,12-05-2020
1589259599,26.857,13-05-2020
1589345999,26.808,14-05-2020
1589432399,26.766,15-05-2020
1589518799,26.728,16-05-2020
1589518799,26.728,17-05-2020
1589518799,26.728,18-05-2020
1589777999,26.678,19-05-2020
1589864399,26.641,20-05-2020
1589950799,26.636,21-05-2020
1590037199,26.646,22-05-2020
1590123599,26.7,23-05-2020
1590123599,26.7,24-05-2020
1590123599,26.7,25-05-2020
1590382799,26.759,26-05-2020
1590469199,26.833,27-05-2020
1590555599,26.889,28-05-2020
1590641999,26.927,29-05-2020
1590728399,26.919,30-05-2020
1590728399,26.919,31-05-2020
1590728399,26.919,01-06-2020
1590987599,26.902,02-06-2020
1591073999,26.875,03-06-2020
1591160399,26.828,04-06-2020
1591246799,26.778,05-06-2020
1591333199,26.728,06-06-2020
1591333199,26.728,07-06-2020
1591333199,26.728,08-06-2020
1591333199,26.728,09-06-2020
1591678799,26.701,10-06-2020
1591765199,26.659,11-06-2020
1591851599,26.649,12-06-2020
1591851599,26.649,13-06-2020
