timestamp,value,stored_at
1577404800,6211.000,27:12:2019
1577664000,6183.500,30:12:2019
1577750400,6156.000,31:12:2019
1577923200,6165.500,02:01:2020
1578009600,6077.000,03:01:2020
1578268800,6097.500,06:01:2020
1578355200,6134.500,07:01:2020
1578441600,6154.000,08:01:2020
1578528000,6156.000,09:01:2020
1578614400,6157.000,10:01:2020
1578873600,6177.000,13:01:2020
1578960000,6247.000,14:01:2020
1579123787,6232,15:01:2020
1579158864,6300.5,16:01:2020
1579219200,6276.5,17:01:2020
1579476305,6245,20:01:2020
1579564800,6158.50,21:01:2020
1579651200,6103.50,22:01:2020
1579737600,6050.00,23:01:2020
1580061846,5968,26:01:2020
