timestamp,value,stored_at
1578945721,6149.2,13:01:2020
1579123787,6152.8,15:01:2020
1579158864,6157.65,16:01:2020
1579476305,6169.7,17:01:2020
1579677344,6210.35,20:01:2020
1579763654,6205.3,21:01:2020
1579843332,6194.7,22:01:2020
1580061846,6175.8,23:01:2020
1580223482,6136,27:01:2020
1580309941,6082.8,28:01:2020
1580276204,6029.4,29:01:2020
1580368108,5961.45,30:01:2020
1580623199,5890.8,31-01-2020
1580709599,5825.8,03-02-2020
1580795999,5775.15,04-02-2020
1580882399,5736.2,05-02-2020
1580968799,5703.8,06-02-2020
1581055199,5672.3,07-02-2020
1581314399,5660.35,10-02-2020
1581400799,5658.45,11-02-2020
1581487199,5663.35,12-02-2020
1581573599,5672.85,13-02-2020
1581659999,5689.55,14-02-2020
1581919199,5710.25,17-02-2020
1582005599,5717.85,18-02-2020
1582091999,5721,19-02-2020
1582178399,5721.4,20-02-2020
1582264799,5726.3,21-02-2020
