timestamp,value,stored_at
1578441600,24.000,08:01:2020
1578528000,24.120,09:01:2020
1578614400,23.955,10:01:2020
1578700800,24.000,11:01:2020
1578873600,24.100,13:01:2020
1579009619,24.00,14:01:2020
1579123787,24.055,15:01:2020
1579166459,24.195,16:01:2020
1579219200,24.3,17:01:2020
1579476305,24.34,20:01:2020
1579564800,24.295,21:01:2020
1579651200,24.45,22:01:2020
1579737600,24.30,23:01:2020
1580102152,24.48,24:01:2020
1580191203,24.61,27:01:2020
1580277661,24.77,28:01:2020
1580276204,24.91,29:01:2020
1580364455,24.9,30:01:2020
1580623199,25.05,31-01-2020
1580709599,25.015,03-02-2020
1580795999,24.815,04-02-2020
1580882399,24.69,05-02-2020
1580968799,24.59,06-02-2020
1581227999,24.53,07-02-2020
1581314399,24.465,10-02-2020
1581400799,24.52,11-02-2020
1581487199,24.525,12-02-2020
1581573599,24.46,13-02-2020
1581832799,24.48,14-02-2020
1581919199,24.43,17-02-2020
1582005599,24.455,18-02-2020
1582091999,24.495,19-02-2020
1582178399,24.465,20-02-2020
1582264799,24.475,21-02-2020
