timestamp,value,stored_at
1578945721,24.035,13:01:2020
1579009619,24.043,14:01:2020
1579123787,24.03,15:01:2020
1579166459,24.057,16:01:2020
1579476305,24.117,17:01:2020
1579677344,24.237,21:01:2020
1579763654,24.316,22:01:2020
1579843332,24.337,23:01:2020
1580061846,24.373,24:01:2020
1580191203,24.427,27:01:2020
1580277661,24.522,28:01:2020
1580276204,24.614,29:01:2020
1580364455,24.734,30:01:2020
1580623199,24.848,31-01-2020
1580709599,24.929,03-02-2020
1580795999,24.938,04-02-2020
1580882399,24.894,05-02-2020
1580968799,24.832,06-02-2020
1581227999,24.728,07-02-2020
1581314399,24.618,10-02-2020
1581400799,24.559,11-02-2020
1581487199,24.526,12-02-2020
1581573599,24.5,13-02-2020
1581832799,24.49,14-02-2020
1581919199,24.483,17-02-2020
1582005599,24.47,18-02-2020
1582091999,24.464,19-02-2020
1582178399,24.465,20-02-2020
